Role,Name,Username,Password
Student,Walker Jackson,cooluser123,letmein
Student,Johnson Noah,rainbow7,letmein
Staff,Lewis Charlotte,soccerfanatic,test01
Staff,Walker Mia,musiclover22,qwerty
Student,Walker Noah,adventureseeker,hello1
Student,Smith Olivia,techguru88,qwerty
Student,Hall Aiden,bookworm99,123456
Staff,Walker Noah,beachbum23,letmein
Admin,Taylor Charlotte,sciencegeek42,pass12
Student,Hall Sophia,starwarsfanatic,hello1
Admin,Pham Hung,PVHG,123123
Student,Hung Pham,Hung,123123
Student,Pham Hung,pvhg,123
Student,pham hung,hungasdasd,123
Staff,asdasd asdasd,asdasd,asdasd
